Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,MACD_Signal,RSI,ATR,OBV,Percent_R,ADX,CCI,ROC,Percent_Change,Signal_Line,%D,%K
02/01/2013,19.025,19.285,19.025,19.26,15.60369,35246400,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,35246400,-15.30932593,18.32119436,8.740171984,-1.116303219,-1.116303219,19.16888878,82.33810648,79.04456832
03/01/2013,19.245001,19.290001,18.99,19.045,15.429505,22807600,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,12438800,-15.30932593,18.32119436,8.740171984,-1.116303219,-1.116303219,19.16888878,82.33810648,79.04456832
04/01/2013,19.1,19.145,18.950001,19.035,15.421408,19035000,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,-6596200,-15.30932593,18.32119436,8.740171984,-0.05250722,-0.05250722,19.16888878,82.33810648,79.04456832
07/01/2013,18.924999,19.02,18.825001,18.950001,15.352547,19034000,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,-25630200,-15.30932593,18.32119436,8.740171984,-0.446540583,-0.446540583,19.16888878,82.33810648,79.04456832
08/01/2013,18.860001,19.08,18.605,19.08,15.457867,33510400,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,7880200,-15.30932593,18.32119436,8.740171984,0.686010518,0.686010518,19.16888878,82.33810648,79.04456832
09/01/2013,19.125,19.275,19.059999,19.209999,15.56319,19628000,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,27508200,-15.30932593,18.32119436,8.740171984,0.681336478,0.681336478,19.16888878,82.33810648,79.04456832
10/01/2013,19.325001,19.379999,19.125,19.25,15.595595,20995600,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,48503800,-15.30932593,18.32119436,8.740171984,0.208230099,0.208230099,19.16888878,82.33810648,79.04456832
11/01/2013,19.195,19.290001,19.139999,19.23,15.579391,13955600,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,34548200,-15.30932593,18.32119436,8.740171984,-0.103896104,-0.103896104,19.16888878,82.33810648,79.04456832
14/01/2013,19.25,19.465,19.235001,19.459999,15.76572,17253800,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,51802000,-15.30932593,18.32119436,8.740171984,1.196042642,1.196042642,19.16888878,82.33810648,79.04456832
15/01/2013,19.434999,19.610001,19.355,19.6,15.879148,24884200,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,76686200,-15.30932593,18.32119436,8.740171984,0.719429636,0.719429636,19.25511102,82.33810648,79.04456832
16/01/2013,19.530001,19.645,19.49,19.59,15.871042,17708800,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,58977400,-15.30932593,18.32119436,8.740171984,-0.051020408,-0.051020408,19.32208882,82.33810648,79.04456832
17/01/2013,19.67,20.02,19.610001,19.975,16.182961,22206600,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,81184000,-15.30932593,18.32119436,8.740171984,1.965288412,1.965288412,19.45267105,82.33810648,79.04456832
18/01/2013,19.959999,20.139999,19.870001,20.135,16.312582,23543400,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,104727400,-15.30932593,18.32119436,8.740171984,0.801001252,0.801001252,19.58913684,82.33810648,79.04456832
22/01/2013,20.09,20.125,19.799999,19.905001,16.126244,27084600,19.40892857,19.40892857,0.266515761,0.114923512,69.68089294,0.26,77642800,-15.30932593,18.32119436,8.740171984,-1.142284579,-1.142284579,19.65230967,82.33810648,79.04456832
23/01/2013,19.945,20.059999,19.9,20,16.203211,19079800,19.46178571,19.4877381,0.266515761,0.114923512,69.68089294,0.26,96722600,-9.120461968,18.32119436,8.740171984,0.47726197,0.47726197,19.72184774,82.33810648,79.04456832
