Date,Open,High,Low,Close,Adj Close,Volume,Company
06/06/2013,31.73,32.2,30.57,31.11,31.11,26069400,NFLX
07/06/2013,31.23,31.55,30.81,31.46,31.46,15299200,NFLX
10/06/2013,31.86,31.9,30.87,31.56,31.56,13812400,NFLX
11/06/2013,31.12,31.47,30.54,30.64,30.64,14213500,NFLX
12/06/2013,30.83,30.83,29.55,29.66,29.66,19108600,NFLX
13/06/2013,29.71,30.79,29.39,30.77,30.77,18511500,NFLX
14/06/2013,30.68,31.04,30.33,30.57,30.57,12495700,NFLX
17/06/2013,32.22,32.93,31.96,32.75,32.75,35851200,NFLX
18/06/2013,32.89,33,32.34,32.69,32.69,17476900,NFLX
19/06/2013,32.57,33.7,32.52,33.19,33.19,22353100,NFLX
20/06/2013,32.78,33,31.51,31.93,31.93,21116200,NFLX
21/06/2013,32.15,32.34,30.6,30.99,30.99,23398200,NFLX
24/06/2013,30.43,31.3,29.86,30.8,30.8,17896200,NFLX
25/06/2013,30.28,30.5,29.65,30.41,30.41,20918800,NFLX
26/06/2013,30.65,31.18,30.12,30.3,30.3,18834200,NFLX
27/06/2013,30.42,30.96,29.94,30.71,30.71,18326700,NFLX
28/06/2013,30.61,30.9,30.01,30.16,30.16,19581100,NFLX
01/07/2013,30.52,32.19,30.29,32.04,32.04,24517500,NFLX
02/07/2013,32.18,32.5,31.14,31.64,31.64,17730300,NFLX
03/07/2013,31.73,32,31.28,31.56,31.56,8625400,NFLX
05/07/2013,31.73,32.18,31.33,32.16,32.16,9957500,NFLX
08/07/2013,32.43,33.61,32.22,33.3,33.3,24289300,NFLX
09/07/2013,33.58,35.34,33.55,35.34,35.34,35509600,NFLX
10/07/2013,35.08,35.27,34.17,34.83,34.83,22578500,NFLX
11/07/2013,35.43,35.6,34.4,34.88,34.88,21146300,NFLX
12/07/2013,35.12,36.78,35.11,36.75,36.75,34238400,NFLX
15/07/2013,37.06,37.12,36.02,36.85,36.85,20612900,NFLX
16/07/2013,36.76,38.05,36.67,37.21,37.21,33356400,NFLX
17/07/2013,37.32,38.32,36.95,38.27,38.27,19510400,NFLX
18/07/2013,38.62,38.62,37.71,38.06,38.06,20487600,NFLX
19/07/2013,38.2,38.28,37.6,37.8,37.8,18120200,NFLX
22/07/2013,38.12,38.39,36.73,37.42,37.42,47313700,NFLX
23/07/2013,35.91,37.46,35.17,35.75,35.75,76829200,NFLX
24/07/2013,35.67,36.04,34.31,34.47,34.47,33409600,NFLX
25/07/2013,34.37,35.38,34.27,35.25,35.25,19634300,NFLX
26/07/2013,34.95,35.28,34.4,35.19,35.19,17826900,NFLX
29/07/2013,35.15,35.81,34.64,34.99,34.99,13215300,NFLX
30/07/2013,35.06,35.42,34.54,34.82,34.82,10890600,NFLX
31/07/2013,34.77,35.3,34.56,34.93,34.93,13120800,NFLX
01/08/2013,35.22,35.71,34.94,35.59,35.59,14139300,NFLX
02/08/2013,35.62,35.62,34.97,35.17,35.17,13879600,NFLX
05/08/2013,34.84,36.27,34.48,36.26,36.26,22962100,NFLX
06/08/2013,36.28,36.8,35.73,36.56,36.56,20413400,NFLX
07/08/2013,36.34,36.78,35.52,35.6,35.6,16328900,NFLX
08/08/2013,35.98,36.27,35.49,35.77,35.77,14800100,NFLX
09/08/2013,35.71,36.24,35.69,36.11,36.11,12322800,NFLX
12/08/2013,35.9,36.71,35.77,36.66,36.66,17804500,NFLX
13/08/2013,36.95,37.46,36.18,37.03,37.03,21940800,NFLX
14/08/2013,36.9,37.68,36.86,37.4,37.4,17399900,NFLX
15/08/2013,37,37.21,35.91,36.2,36.2,16629200,NFLX
16/08/2013,36.17,37.16,35.88,36.98,36.98,21354200,NFLX
19/08/2013,36.86,37.64,36.82,37.11,37.11,15497300,NFLX
20/08/2013,37.56,39.08,37.5,39.04,39.04,30140600,NFLX
21/08/2013,38.98,39.24,38.21,38.62,38.62,21258300,NFLX
22/08/2013,38.93,39.07,38.32,38.54,38.54,9961700,NFLX
23/08/2013,38.58,39.77,38.43,39.77,39.77,22285200,NFLX
26/08/2013,39.44,41.42,39.15,40.39,40.39,31017700,NFLX
27/08/2013,39.88,40.84,39.21,39.43,39.43,23138500,NFLX
28/08/2013,39.81,40.71,39.49,40.48,40.48,19355700,NFLX
29/08/2013,40.58,41.46,40.55,41.12,41.12,19059600,NFLX
30/08/2013,41.18,41.26,40.42,40.56,40.56,15149400,NFLX
03/09/2013,41.06,41.53,40.65,41.29,41.29,19969600,NFLX
04/09/2013,41.26,41.87,41,41.78,41.78,19701500,NFLX
05/09/2013,42.4,42.7,42.06,42.16,42.16,19072200,NFLX
06/09/2013,42.33,42.36,41.46,41.65,41.65,17698800,NFLX
09/09/2013,41.82,42.19,41.47,42.02,42.02,13840400,NFLX
10/09/2013,42.5,44.75,42.4,44.72,44.72,36682100,NFLX
11/09/2013,44.82,44.88,43.41,44.04,44.04,29940400,NFLX
12/09/2013,43.12,43.78,42.62,43.06,43.06,21947800,NFLX
13/09/2013,43.14,43.71,42.74,43.66,43.66,15029700,NFLX
16/09/2013,44.29,44.31,43.11,43.17,43.17,14055300,NFLX
17/09/2013,43.15,43.32,42.53,42.79,42.79,18200700,NFLX
18/09/2013,42.71,43.95,42.59,43.85,43.85,13739600,NFLX
19/09/2013,44.05,44.11,43.43,43.64,43.64,17449600,NFLX
20/09/2013,43.69,45.13,43.66,44.83,44.83,30791600,NFLX
23/09/2013,45.77,45.77,42.79,43.15,43.15,32030600,NFLX
24/09/2013,43.04,44.2,42.91,43.78,43.78,18780300,NFLX
25/09/2013,44.03,44.4,43.44,43.88,43.88,14639100,NFLX
26/09/2013,44.01,44.93,43.93,44.79,44.79,12460700,NFLX
27/09/2013,44.39,44.79,44.24,44.63,44.63,8299200,NFLX
30/09/2013,43.96,44.59,43.6,44.17,44.17,12528600,NFLX
01/10/2013,44.97,46.39,44.86,46.37,46.37,29693300,NFLX
02/10/2013,46.01,47.66,45.95,47.25,47.25,30583700,NFLX
03/10/2013,47.29,47.79,45.44,45.96,45.96,24613400,NFLX
04/10/2013,46.24,46.9,45.51,46.75,46.75,16814000,NFLX
07/10/2013,46.29,46.71,45.45,45.45,45.45,14634900,NFLX
08/10/2013,45.61,45.93,42.8,43.19,43.19,28678300,NFLX
09/10/2013,42.89,42.94,40.4,41.2,41.2,41948900,NFLX
10/10/2013,43,43.92,42.34,43.43,43.43,30695000,NFLX
11/10/2013,43.47,43.94,42.88,42.98,42.98,19200300,NFLX
14/10/2013,44.37,46.47,43.71,46.34,46.34,45659600,NFLX
15/10/2013,46.44,46.76,45.62,45.96,45.96,26848500,NFLX
16/10/2013,45.73,46.5,45.47,46.13,46.13,18843300,NFLX
17/10/2013,46.03,47.17,45.67,47.16,47.16,19272400,NFLX
18/10/2013,47.71,48.07,46.8,47.64,47.64,25454800,NFLX
21/10/2013,48.99,50.77,48.59,50.71,50.71,65090200,NFLX
22/10/2013,55.41,55.59,45.93,46.07,46.07,181099800,NFLX
23/10/2013,45.33,47.88,45.29,47.18,47.18,58376500,NFLX
24/10/2013,47.35,48.12,46.24,47.32,47.32,33559400,NFLX
25/10/2013,47.29,48.17,46.56,46.86,46.86,24062500,NFLX
28/10/2013,46.43,47.28,44.54,44.86,44.86,34260800,NFLX
29/10/2013,45.51,46.77,44.17,46.76,46.76,30936500,NFLX
30/10/2013,46.96,46.99,45.09,45.45,45.45,21640500,NFLX
31/10/2013,45.44,46.66,45.1,46.07,46.07,18489800,NFLX
01/11/2013,46.98,47.64,46.56,47.04,47.04,22020600,NFLX
04/11/2013,47.28,48.26,46.45,48.23,48.23,21919100,NFLX
05/11/2013,47.93,48.91,47.58,48.79,48.79,17289300,NFLX
06/11/2013,48.5,49.2,47.54,47.95,47.95,20733300,NFLX
07/11/2013,48.43,48.52,46.45,46.69,46.69,20007400,NFLX
08/11/2013,46.7,47.94,46.5,47.84,47.84,19448800,NFLX
11/11/2013,47.54,48.5,46.95,48.27,48.27,16815400,NFLX
12/11/2013,48.03,48.5,47.34,47.68,47.68,12231800,NFLX
13/11/2013,47.6,47.92,47.01,47.9,47.9,11967900,NFLX
14/11/2013,47.97,49.14,47.87,48.94,48.94,20104700,NFLX
15/11/2013,49.23,49.98,49.01,49.97,49.97,20152300,NFLX
18/11/2013,50,50.07,48.5,48.82,48.82,20247500,NFLX
19/11/2013,48.68,49.55,47.75,48.18,48.18,17057600,NFLX
20/11/2013,49.05,49.48,48.24,48.5,48.5,19481700,NFLX
21/11/2013,48.89,49.81,48.81,49.79,49.79,15989400,NFLX
22/11/2013,49.83,50.09,49.14,49.69,49.69,14202300,NFLX
25/11/2013,49.56,50.42,49.29,50.03,50.03,13984600,NFLX
26/11/2013,50.07,50.92,49.65,50.74,50.74,14683200,NFLX
27/11/2013,51.02,51.98,50.51,51.78,51.78,16832900,NFLX
29/11/2013,52.01,52.54,51.86,52.26,52.26,8388100,NFLX
02/12/2013,52.13,52.57,51.37,51.99,51.99,11675300,NFLX
03/12/2013,51.7,51.94,50.93,51.85,51.85,13400800,NFLX
04/12/2013,51.51,52.66,50.89,50.9,50.9,19395600,NFLX
05/12/2013,51.11,51.59,50.48,51.15,51.15,13793500,NFLX
06/12/2013,51.58,51.62,50.29,50.63,50.63,12075700,NFLX
09/12/2013,50.74,51.41,50.52,50.81,50.81,11718700,NFLX
10/12/2013,50.71,52.06,50.47,51.87,51.87,14089600,NFLX
11/12/2013,52.05,53.02,51.75,52,52,20066900,NFLX
12/12/2013,51.95,53.55,51.94,53.33,53.33,21318500,NFLX
13/12/2013,53.74,53.86,52.69,52.71,52.71,17854900,NFLX
16/12/2013,52.85,53,52.04,52.33,52.33,13911100,NFLX
17/12/2013,52.39,53.96,52.32,53.55,53.55,18448500,NFLX
