Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,MACD_Signal,RSI,ATR,OBV,Percent_R,ADX,CCI,ROC,Percent_Change,Signal_Line,%D,%K,Company
06/06/2013,31.73,32.2,30.57,31.11,31.11,26069400,31.32,31.32,1.41,1.44,45.66,1.25,26069400,-76.27,30.54,35.14,1.14,1.14,31.24,28.29,36.61,NFLX
07/06/2013,31.23,31.55,30.81,31.46,31.46,15299200,31.32,31.32,1.41,1.44,45.66,1.25,41368600,-76.27,30.54,35.14,1.14,1.14,31.24,28.29,36.61,NFLX
10/06/2013,31.86,31.9,30.87,31.56,31.56,13812400,31.32,31.32,1.41,1.44,45.66,1.25,55181000,-76.27,30.54,35.14,0.32,0.32,31.24,28.29,36.61,NFLX
11/06/2013,31.12,31.47,30.54,30.64,30.64,14213500,31.32,31.32,1.41,1.44,45.66,1.25,40967500,-76.27,30.54,35.14,-2.93,-2.93,31.24,28.29,36.61,NFLX
12/06/2013,30.83,30.83,29.55,29.66,29.66,19108600,31.32,31.32,1.41,1.44,45.66,1.25,21858900,-76.27,30.54,35.14,-3.18,-3.18,31.24,28.29,36.61,NFLX
13/06/2013,29.71,30.79,29.39,30.77,30.77,18511500,31.32,31.32,1.41,1.44,45.66,1.25,40370400,-76.27,30.54,35.14,3.73,3.73,31.24,28.29,36.61,NFLX
14/06/2013,30.68,31.04,30.33,30.57,30.57,12495700,31.32,31.32,1.41,1.44,45.66,1.25,27874700,-76.27,30.54,35.14,-0.65,-0.65,31.24,28.29,36.61,NFLX
17/06/2013,32.22,32.93,31.96,32.75,32.75,35851200,31.32,31.32,1.41,1.44,45.66,1.25,63725900,-76.27,30.54,35.14,7.12,7.12,31.24,28.29,36.61,NFLX
18/06/2013,32.89,33,32.34,32.69,32.69,17476900,31.32,31.32,1.41,1.44,45.66,1.25,46249000,-76.27,30.54,35.14,-0.17,-0.17,31.24,28.29,36.61,NFLX
19/06/2013,32.57,33.7,32.52,33.19,33.19,22353100,31.32,31.32,1.41,1.44,45.66,1.25,68602100,-76.27,30.54,35.14,1.52,1.52,31.63,28.29,36.61,NFLX
20/06/2013,32.78,33,31.51,31.93,31.93,21116200,31.32,31.32,1.41,1.44,45.66,1.25,47485900,-76.27,30.54,35.14,-3.78,-3.78,31.69,28.29,36.61,NFLX
21/06/2013,32.15,32.34,30.6,30.99,30.99,23398200,31.32,31.32,1.41,1.44,45.66,1.25,24087700,-76.27,30.54,35.14,-2.96,-2.96,31.55,28.29,36.61,NFLX
24/06/2013,30.43,31.3,29.86,30.8,30.8,17896200,31.32,31.32,1.41,1.44,45.66,1.25,6191500,-76.27,30.54,35.14,-0.6,-0.6,31.4,28.29,36.61,NFLX
25/06/2013,30.28,30.5,29.65,30.41,30.41,20918800,31.32,31.32,1.41,1.44,45.66,1.25,-14727300,-76.27,30.54,35.14,-1.25,-1.25,31.2,28.29,36.61,NFLX
26/06/2013,30.65,31.18,30.12,30.3,30.3,18834200,31.27,31.19,1.41,1.44,45.66,1.25,-33561500,-78.92,30.54,35.14,-0.38,-0.38,31.02,28.29,36.61,NFLX
27/06/2013,30.42,30.96,29.94,30.71,30.71,18326700,31.21,31.12,1.41,1.44,48.13,1.23,-15234800,-69.4,30.54,35.14,1.35,1.35,30.96,28.29,36.61,NFLX
28/06/2013,30.61,30.9,30.01,30.16,30.16,19581100,31.11,30.99,1.41,1.44,45.14,1.21,-34815900,-82.28,30.54,35.14,-1.8,-1.8,30.8,28.29,36.61,NFLX
01/07/2013,30.52,32.19,30.29,32.04,32.04,24517500,31.21,31.13,1.41,1.44,55.29,1.27,-10298400,-38.5,30.54,35.14,6.25,6.25,31.05,28.29,36.61,NFLX
02/07/2013,32.18,32.5,31.14,31.64,31.64,17730300,31.35,31.2,1.41,1.44,53.03,1.27,-28028700,-47.86,30.54,35.14,-1.26,-1.26,31.17,34.51,43.79,NFLX
03/07/2013,31.73,32,31.28,31.56,31.56,8625400,31.41,31.25,1.41,1.44,52.58,1.23,-36654100,-52.86,30.54,35.14,-0.25,-0.25,31.24,44.66,53.59,NFLX
05/07/2013,31.73,32.18,31.33,32.16,32.16,9957500,31.52,31.37,1.41,1.44,55.68,1.2,-26696600,-38.06,30.54,56.4,1.9,1.9,31.43,50.37,53.74,NFLX
08/07/2013,32.43,33.61,32.22,33.3,33.3,24289300,31.56,31.63,1.41,1.44,60.92,1.22,-2407300,-9.82,30.54,137.37,3.55,3.55,31.8,57.92,66.42,NFLX
09/07/2013,33.58,35.34,33.55,35.34,35.34,35509600,31.75,32.12,1.41,1.44,68.16,1.28,33102300,-0.08,30.54,218.49,6.13,6.13,32.51,68.06,84.01,NFLX
10/07/2013,35.08,35.27,34.17,34.83,34.83,22578500,31.87,32.48,1.41,1.44,64.93,1.27,10523800,-9.01,30.54,180.47,-1.44,-1.44,32.97,81.38,93.7,NFLX
11/07/2013,35.43,35.6,34.4,34.88,34.88,21146300,32.08,32.8,1.41,1.44,65.11,1.27,31670100,-12.08,30.54,162.58,0.14,0.14,33.36,90.22,92.95,NFLX
12/07/2013,35.12,36.78,35.11,36.75,36.75,34238400,32.49,33.33,1.41,1.44,70.95,1.31,65908500,-0.34,30.54,188.25,5.36,5.36,34.03,93.17,92.86,NFLX
15/07/2013,37.06,37.12,36.02,36.85,36.85,20612900,32.92,33.8,1.41,1.44,71.23,1.3,86521400,-3.58,30.54,174.21,0.28,0.28,34.6,93.49,94.67,NFLX
16/07/2013,36.76,38.05,36.67,37.21,37.21,33356400,33.41,34.25,1.41,1.44,72.25,1.3,119877800,-10.38,30.54,163.21,0.97,0.97,35.12,94.25,95.24,NFLX
17/07/2013,37.32,38.32,36.95,38.27,38.27,19510400,33.98,34.79,1.41,1.44,75.08,1.31,139388200,-0.58,32.9,150.89,2.86,2.86,35.75,95.02,95.16,NFLX
18/07/2013,38.62,38.62,37.71,38.06,38.06,20487600,34.5,35.23,1.41,1.44,73.45,1.28,118900600,-6.47,35.19,132.99,-0.56,-0.56,36.21,94.86,94.19,NFLX
19/07/2013,38.2,38.28,37.6,37.8,37.8,18120200,35.05,35.57,1.41,1.44,71.41,1.24,100780400,-9.83,37.13,109.44,-0.69,-0.69,36.53,94.57,94.37,NFLX
22/07/2013,38.12,38.39,36.73,37.42,37.42,47313700,35.43,35.82,1.41,1.44,68.49,1.27,53466700,-15.96,37.65,89.19,-0.99,-0.99,36.71,92.6,89.25,NFLX
23/07/2013,35.91,37.46,35.17,35.75,35.75,76829200,35.73,35.81,1.41,1.44,57.23,1.34,-23362500,-39.04,36.3,49.6,-4.47,-4.47,36.52,87.34,78.39,NFLX
24/07/2013,35.67,36.04,34.31,34.47,34.47,33409600,35.94,35.63,1.41,1.44,50.4,1.37,-56772100,-56.9,34.24,14.48,-3.58,-3.58,36.11,76.78,62.7,NFLX
25/07/2013,34.37,35.38,34.27,35.25,35.25,19634300,36.16,35.58,1.28,1.41,53.99,1.35,-37137800,-52.61,32.29,10.06,2.25,2.25,35.94,63.86,50.48,NFLX
26/07/2013,34.95,35.28,34.4,35.19,35.19,17826900,36.29,35.53,1.15,1.36,53.66,1.32,-54964700,-67.72,30.48,3.38,-0.17,-0.17,35.79,51.37,40.92,NFLX
29/07/2013,35.15,35.81,34.64,34.99,34.99,13215300,36.27,35.46,1.02,1.29,52.57,1.3,-68180000,-81.51,29.25,1.95,-0.55,-0.55,35.63,41.37,32.72,NFLX
30/07/2013,35.06,35.42,34.54,34.82,34.82,10890600,36.27,35.37,0.9,1.21,51.57,1.27,-79070600,-87.34,27.99,-14.71,-0.49,-0.49,35.47,31.59,21.14,NFLX
31/07/2013,34.77,35.3,34.56,34.93,34.93,13120800,36.27,35.31,0.8,1.13,52.16,1.24,-65949800,-84.97,26.83,-23.34,0.3,0.3,35.36,23.09,15.4,NFLX
01/08/2013,35.22,35.71,34.94,35.59,35.59,14139300,36.19,35.35,0.76,1.06,55.88,1.2,-51810500,-69.7,26.14,-10.74,1.9,1.9,35.4,18.62,19.33,NFLX
02/08/2013,35.62,35.62,34.97,35.17,35.17,13879600,36.07,35.32,0.69,0.98,53.07,1.16,-65690100,-79.38,25.5,-31.22,-1.18,-1.18,35.36,18.9,21.98,NFLX
05/08/2013,34.84,36.27,34.48,36.26,36.26,22962100,36,35.45,0.72,0.93,58.88,1.21,-42728000,-54.18,25.5,-15.88,3.11,3.11,35.54,24.52,32.25,NFLX
06/08/2013,36.28,36.8,35.73,36.56,36.56,20413400,35.88,35.6,0.75,0.9,60.31,1.2,-22314600,-47.4,25.93,23.98,0.81,0.81,35.74,31.3,39.68,NFLX
07/08/2013,36.34,36.78,35.52,35.6,35.6,16328900,35.7,35.6,0.7,0.86,53.79,1.2,-38643500,-67.75,26.02,-6.42,-2.61,-2.61,35.71,38.5,43.56,NFLX
08/08/2013,35.98,36.27,35.49,35.77,35.77,14800100,35.56,35.62,0.66,0.82,54.73,1.17,-23843400,-63.63,26.06,-18.94,0.48,0.48,35.73,41.21,40.41,NFLX
09/08/2013,35.71,36.24,35.69,36.11,36.11,12322800,35.46,35.69,0.65,0.78,56.6,1.13,-11520600,-42.47,26.09,-6.02,0.94,0.94,35.8,42,42.05,NFLX
12/08/2013,35.9,36.71,35.77,36.66,36.66,17804500,35.53,35.82,0.67,0.76,59.55,1.12,6283900,-5.65,26.57,22.52,1.52,1.52,35.97,48.4,62.75,NFLX
13/08/2013,36.95,37.46,36.18,37.03,37.03,21940800,35.71,35.98,0.72,0.75,61.45,1.13,28224700,-13.5,27.63,63.72,1.01,1.01,36.18,61.42,79.46,NFLX
14/08/2013,36.9,37.68,36.86,37.4,37.4,17399900,35.86,36.17,0.77,0.76,63.33,1.11,45624600,-8.62,28.77,102.39,1.01,1.01,36.43,77.65,90.74,NFLX
15/08/2013,37,37.21,35.91,36.2,36.2,16629200,35.93,36.17,0.71,0.75,54.22,1.13,28995400,-46.32,28.27,44.27,-3.21,-3.21,36.38,82.46,77.19,NFLX
16/08/2013,36.17,37.16,35.88,36.98,36.98,21354200,36.08,36.28,0.72,0.74,58.41,1.14,50349600,-21.95,27.75,76.95,2.15,2.15,36.5,80.77,74.37,NFLX
19/08/2013,36.86,37.64,36.82,37.11,37.11,15497300,36.24,36.39,0.73,0.74,59.08,1.12,65846900,-17.89,27.73,132.36,0.35,0.35,36.62,74.28,71.28,NFLX
20/08/2013,37.56,39.08,37.5,39.04,39.04,30140600,36.53,36.74,0.88,0.77,67.48,1.18,95987500,-0.78,28.79,215.51,5.2,5.2,37.11,77.37,86.46,NFLX
21/08/2013,38.98,39.24,38.21,38.62,38.62,21258300,36.75,36.99,0.95,0.8,64.4,1.17,74729200,-12.86,29.87,188.76,-1.07,-1.07,37.41,82.41,89.49,NFLX
22/08/2013,38.93,39.07,38.32,38.54,38.54,9961700,36.99,37.2,0.99,0.84,63.74,1.14,64767500,-14.73,30.88,159.83,-0.23,-0.23,37.64,88.83,90.54,NFLX
23/08/2013,38.58,39.77,38.43,39.77,39.77,22285200,37.24,37.54,1.11,0.9,68.58,1.15,87052700,-0.1,32.25,172.18,3.19,3.19,38.06,90.27,90.77,NFLX
26/08/2013,39.44,41.42,39.15,40.39,40.39,31017700,37.52,37.92,1.24,0.96,70.72,1.23,118070400,-17.4,34.31,190.27,1.57,1.57,38.53,90.19,89.26,NFLX
27/08/2013,39.88,40.84,39.21,39.43,39.43,23138500,37.79,38.12,1.25,1.02,63.59,1.26,94931900,-33.5,36.22,138.92,-2.36,-2.36,38.71,87.67,83,NFLX
28/08/2013,39.81,40.71,39.49,40.48,40.48,19355700,38.13,38.44,1.33,1.08,67.46,1.26,114287600,-16.39,38,135.82,2.65,2.65,39.06,83.27,77.57,NFLX
29/08/2013,40.58,41.46,40.55,41.12,41.12,19059600,38.48,38.8,1.43,1.15,69.6,1.24,133347200,-5.98,39.95,146.18,1.58,1.58,39.47,80.65,81.38,NFLX
30/08/2013,41.18,41.26,40.42,40.56,40.56,15149400,38.76,39.03,1.44,1.21,65.53,1.21,118197800,-16.16,41.53,116.87,-1.37,-1.37,39.69,82.03,87.16,NFLX
03/09/2013,41.06,41.53,40.65,41.29,41.29,19969600,39.07,39.33,1.5,1.27,68.12,1.2,138167400,-4.32,43.11,118.66,1.79,1.79,40.01,86.57,91.18,NFLX
04/09/2013,41.26,41.87,41,41.78,41.78,19701500,39.38,39.66,1.56,1.33,69.77,1.17,157868900,-1.5,44.73,120.22,1.19,1.19,40.36,90.34,92.67,NFLX
05/09/2013,42.4,42.7,42.06,42.16,42.16,19072200,39.8,39.99,1.62,1.39,71.03,1.16,176941100,-7.99,46.54,133.81,0.92,0.92,40.72,93.08,95.4,NFLX
06/09/2013,42.33,42.36,41.46,41.65,41.65,17698800,40.14,40.21,1.61,1.43,67.02,1.14,159242300,-17.95,47.12,103.78,-1.21,-1.21,40.91,92.97,90.85,NFLX
09/09/2013,41.82,42.19,41.47,42.02,42.02,13840400,40.49,40.45,1.62,1.47,68.43,1.11,173082700,-13.12,47.66,97.43,0.9,0.9,41.13,91.08,86.98,NFLX
10/09/2013,42.5,44.75,42.4,44.72,44.72,36682100,40.89,41.02,1.82,1.54,76.29,1.22,209764800,-0.39,49.17,158.04,6.43,6.43,41.85,89.12,89.51,NFLX
11/09/2013,44.82,44.88,43.41,44.04,44.04,29940400,41.28,41.43,1.9,1.61,71.47,1.24,179824400,-12.8,50.6,147.76,-1.52,-1.52,42.29,89.24,91.23,NFLX
12/09/2013,43.12,43.78,42.62,43.06,43.06,21947800,41.6,41.64,1.86,1.66,65.05,1.25,157876600,-28.28,50.75,103.07,-2.23,-2.23,42.44,88.97,86.18,NFLX
13/09/2013,43.14,43.71,42.74,43.66,43.66,15029700,41.88,41.91,1.86,1.7,67.01,1.23,172906300,-21.25,50.88,103.1,1.41,1.41,42.69,85.54,79.23,NFLX
16/09/2013,44.29,44.31,43.11,43.17,43.17,14055300,42.08,42.08,1.8,1.72,63.83,1.23,158851000,-30.29,51.28,101.59,-1.14,-1.14,42.78,79.6,73.39,NFLX
17/09/2013,43.15,43.32,42.53,42.79,42.79,18200700,42.32,42.17,1.7,1.72,61.49,1.2,140650300,-38.72,50.79,67.72,-0.86,-0.86,42.78,74.18,69.91,NFLX
18/09/2013,42.71,43.95,42.59,43.85,43.85,13739600,42.56,42.4,1.69,1.71,65.36,1.21,154389900,-23.25,50.66,85.7,2.46,2.46,43,70.85,69.25,NFLX
